gender,age_group,occupation,Intl_students,degree,fvt_social_media_platform,usage_reason,usage_time,device,interaction,preferred_content,watched_livestream,watched_livestream_frequency,avg_watch_time_livestream,emotional_fullfillment,svp_discovery_method,content_personalization,purchased_product,purchase_frequency,follow_influencers,influencer_inspired_travel ,influencer_inspired_travel _frequency,influencer_travel_trust_score
Female,25-34,Employed,,,Other,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Fashion and Beauty, Educational Content, Cute animals",No,,,Yes,Via social shares by friends or family,3,No,,No,No,,
Male,35-44,Employed,,Post-graduate,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Movies, TV Shows, and Animation, Educational Content",No,,,Sometimes,Through platform recommendations,4,No,,No,Yes,2-3 times,Neutral
Male,55-64,Retired,No,Undergraduate,Facebook,Learning and Education,Afternoon (12 pm - 5 pm),Laptop/Desktop,Like,"Movies, TV Shows, and Animation, Educational Content",Yes,2-3 times a week,30 minutes to 1 hour,Sometimes,"Through platform recommendations, Via social shares by friends or family",4,No,Once a month,No,No,Once,Neutral
Female,25-34,Employed,,,Facebook,Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Like,"Food and Travel, Comedy and Entertainment, Daily Vlogs and Lifestyle, Movies, TV Shows, and Animation",No,2-3 times a week,Less than 15 minutes,Yes,By exploring trending sections,3,No,Once a month,No,No,Once,Neutral
Female,18-24,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Comedy and Entertainment, Daily Vlogs and Lifestyle, Movies, TV Shows, and Animation",Yes,2-3 times a month,Less than 15 minutes,Sometimes,"Through platform recommendations, Via social shares by friends or family",3,Yes,2-3 times a month,Yes,Yes,2-3 times,Somewhat likely
Female,35-44,Employed,,,TikTok,Learning and Education,Evening 5 pm - 12 am),Smartphone,Like,"Sports and Fitness, Comedy and Entertainment, Educational Content",Yes,2-3 times a month,Less than 15 minutes,Sometimes,"Through platform recommendations, Via social shares by friends or family",2,Yes,Once a month,Yes,No,,Somewhat likely
Male,25-34,Employed,,,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Sports and Fitness, Comedy and Entertainment",No,,,No,"Through platform recommendations, Via social shares by friends or family, By searching for specific content",1,No,,Yes,No,,Somewhat likely
Male,45-54,Employed,No,Undergraduate,Other,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Just watch,"Educational Content, Music",No,,,No,By searching for specific content,2,No,,No,No,,Somewhat unlikely
Male,25-34,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Comedy and Entertainment, Movies, TV Shows, and Animation, Technology and Gaming",No,,,Sometimes,"Through platform recommendations, Via social shares by friends or family, By searching for specific content",4,Yes,Once a month,No,No,,Somewhat unlikely
Female,25-34,Employed,No,Undergraduate,Facebook,Networking and Socializing,Afternoon (12 pm - 5 pm),Smartphone,Like,"Fashion and Beauty, Educational Content",Yes,2-3 times a day,15 minutes to 30 minutes,Sometimes,"Through platform recommendations, Via social shares by friends or family",3,Yes,2-3 times a month,Yes,No,2-3 times,Neutral
Male,25-34,Employed,No,Undergraduate,Other,Entertainment and Leisure,Morning (5 am - 12 pm),Laptop/Desktop,Like,"Food and Travel, Sports and Fitness, Comedy and Entertainment",Yes,Once a week,15 minutes to 30 minutes,No,Via social shares by friends or family,2,No,,No,No,,Very unlikely
Male,35-44,Employed,No,,YouTube (shorts),Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Daily Vlogs and Lifestyle, Movies, TV Shows, and Animation, Educational Content",Yes,Once a month,Less than 15 minutes,Yes,By exploring trending sections,3,No,,Yes,No,,Somewhat unlikely
Male,35-44,Employed,,,YouTube (shorts),Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Sports and Fitness, Movies, TV Shows, and Animation",No,4 or more times a day,30 minutes to 1 hour,No,Through platform recommendations,3,No,,Yes,No,,Very unlikely
Male,45-54,Employed,,,YouTube (shorts),Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,None,"Comedy and Entertainment, Technology and Gaming",No,,,Sometimes,By exploring trending sections,1,No,,No,No,,Very unlikely
Male,25-34,Employed,No,,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Sports and Fitness, Comedy and Entertainment, Educational Content",Yes,Once a month,Less than 15 minutes,Yes,Through platform recommendations,3,Yes,Once a month,Yes,Yes,Once,Somewhat likely
Female,45-54,Unemployed,,,Facebook,Networking and Socializing,Afternoon (12 pm - 5 pm),Smartphone,Like,Comedy and Entertainment,Yes,Once a month,Less than 15 minutes,Yes,Via social shares by friends or family,3,No,,Yes,No,,Somewhat likely
Male,45-54,Unemployed,No,,YouTube (shorts),Entertainment and Leisure,Afternoon (12 pm - 5 pm),Laptop/Desktop,Like,"Sports and Fitness, Comedy and Entertainment",No,,,Sometimes,By searching for specific content,3,No,,No,No,,Neutral
Male,35-44,Employed,,,Other,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Comedy and Entertainment, Movies, TV Shows, and Animation",Yes,Once a month,Less than 15 minutes,Sometimes,Via social shares by friends or family,1,No,,No,Yes,2-3 times,Somewhat likely
Male,25-34,Employed,No,Post-graduate,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Movies, TV Shows, and Animation, Technology and Gaming",Yes,2-3 times a month,15 minutes to 30 minutes,Yes,Via social shares by friends or family,3,No,,Yes,Yes,Once,Somewhat likely
Female,35-44,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Comedy and Entertainment, Movies, TV Shows, and Animation",Yes,4 or more times a day,More than 1 hours,Yes,"Through platform recommendations, By searching for specific content, By exploring trending sections",4,Yes,Once a month,Yes,No,,Neutral
Male,35-44,Employed,No,Post-graduate,Other,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Comment,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Movies, TV Shows, and Animation",No,I do not,Less than 15 minutes,Sometimes,By searching for specific content,4,No,,Yes,No,,Neutral
Female,45-54,Self-employed,,,Facebook,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Comedy and Entertainment",No,,,Sometimes,"Through platform recommendations, Via social shares by friends or family",3,No,,No,,,
Female,25-34,Employed,No,Post-graduate,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Movies, TV Shows, and Animation",Yes,Once a month,Less than 15 minutes,Sometimes,"Through platform recommendations, Via social shares by friends or family",3,No,,Yes,Yes,Once,Neutral
Female,25-34,Self-employed,No,,YouTube (shorts),Entertainment and Leisure,Morning (5 am - 12 pm),Laptop/Desktop,Like,"Sports and Fitness, Comedy and Entertainment, Daily Vlogs and Lifestyle, Educational Content, Technology and Gaming",Yes,4-8 times a month,15 minutes to 30 minutes,Yes,By exploring trending sections,4,No,,Yes,No,,Neutral
Male,25-34,Employed,,,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Comedy and Entertainment, Movies, TV Shows, and Animation, Technology and Gaming",Yes,Once a month,Less than 15 minutes,Sometimes,"Through platform recommendations, Via social shares by friends or family, By searching for specific content, By exploring trending sections",3,Yes,Once a month,No,No,,Somewhat likely
Female,18-24,Employed,,,Instagram,Entertainment and Leisure,Morning (5 am - 12 pm),Smartphone,Like,"Food and Travel, Sports and Fitness, Daily Vlogs and Lifestyle, Fashion and Beauty",No,2-3 times a day,Less than 15 minutes,Sometimes,Through platform recommendations,4,No,,Yes,No,,Somewhat unlikely
Female,25-34,Employed,,,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Sports and Fitness, Comedy and Entertainment",No,,,Sometimes,Via social shares by friends or family,4,No,,Yes,No,,Neutral
Male,25-34,Student (Please specify if you are an international student below),Yes,Post-graduate,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,Comedy and Entertainment,Yes,Once a month,30 minutes to 1 hour,Sometimes,By exploring trending sections,2,No,,Yes,No,,Somewhat likely
Male,25-34,Employed,,,YouTube (shorts),Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,no interaction,"Food and Travel, Comedy and Entertainment, Fashion and Beauty, Movies, TV Shows, and Animation, Educational Content",Yes,2-3 times a month,15 minutes to 30 minutes,No,"Through platform recommendations, Via social shares by friends or family, By exploring trending sections",3,No,,No,No,,Somewhat unlikely
Male,25-34,Employed,No,Undergraduate,TikTok,Learning and Education,Evening 5 pm - 12 am),Smartphone,Like,Comedy and Entertainment,Yes,4 or more times a day,Less than 15 minutes,Yes,Through platform recommendations,5,Yes,Once a month,Yes,Yes,Once,Neutral
Female,35-44,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Food and Travel, Comedy and Entertainment, Fashion and Beauty, Educational Content",Yes,Once a day,30 minutes to 1 hour,Sometimes,"Via social shares by friends or family, By searching for specific content, By exploring trending sections",3,No,,No,No,,Somewhat unlikely
Male,18-24,Occupation,No,Undergraduate,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Comedy and Entertainment? Movies, TV Shows?Technology and Gaming",Yes,2-3 times a week,30 minutes to 1 hour,Yes,Through platform recommendations?Via social shares by friends or family?,4,No,,Yes,Yes,2-3 times,Neutral
Male,18-24,Student,Yes,Undergraduate,Others,Entertainment and Leisure,Evening 5 pm - 12 am),Laptop/Desktop,Share," Movies, TV Shows",Yes,Once a month,Less than 15 minutes,Yes,Through platform recommendations,4,No,,Yes,Yes,More than 6 times,Somewhat likely
Male,18-24,Student,No,Undergraduate,Others,Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Others,"Food and Travel?Comedy and Entertainment? Movies, TV Shows? Educational Content?Technology and Gaming",Yes,Once a week,15 minutes to 30 minutes,No,Others,4,Yes,Once a month,Yes,No,,Very unlikely
Female,18-24,Student,Yes,Post-graduate,Little Red Book,Entertainment and Leisure,Late Night (12 am - 5 am)),Smartphone,Like,"Food and Travel?Daily Vlogs and Lifestyle?Fashion and Beauty? Movies, TV Shows",No,,,No,Through platform recommendations?Via social shares by friends or family??By searching for specific content,2,No,,Yes,Yes,2-3 times,Somewhat unlikely
Male,18-24,Student,Yes,Post-graduate,TikTok,Entertainment and Leisure,Late Night (12 am - 5 am)),Smartphone,Share,"Food and Travel?Sports and Fitness? Movies, TV Shows",Yes,2-3 times a month,Less than 15 minutes,Yes,Through platform recommendations,4,Yes,Others,Yes,Yes,2-3 times,Neutral
Female,18-24,Student,Yes,Undergraduate,Little Red Book,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Food and Travel?Comedy and Entertainment?Daily Vlogs and Lifestyle?Movies, TV Shows",No,,,Yes,Through platform recommendations?By exploring trending sections,4,No,,Yes,No,,Neutral
Male,18-24,Student,No,Undergraduate,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Comedy and Entertainment? Movies, TV Shows?Others",Yes,2-3 times a week,Less than 15 minutes,No,Through platform recommendations?By exploring trending sections,4,No,,Yes,No,,Neutral
Male,18-24,Student,No,Undergraduate,Little Red Book,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,Sports and Fitness?Comedy and Entertainment?Technology and Gaming,No,,,Yes,Through platform recommendations?Via social shares by friends or family?,5,Yes,Others,Yes,No,,Very likely
Male,25-34,Occupation,,,TikTok,Others,Evening 5 pm - 12 am),Smartphone,Others,Others,Yes,Once a day,Less than 15 minutes,Yes,Others,4,Yes,Once a month,Yes,No,,Neutral
Female,18-24,Student,No,Undergraduate,TikTok,Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Share,"Food and Travel?Comedy and Entertainment?Daily Vlogs and Lifestyle? Movies, TV Shows?Technology and Gaming",Yes,2-3 times a month,Less than 15 minutes,Yes,By exploring trending sections,4,Yes,2-3 times a month,Yes,Yes,Once,Neutral
Male,18-24,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Sports and Fitness?Comedy and Entertainment? Movies, TV Shows?Technology and Gaming",Yes,2-3 times a day,15 minutes to 30 minutes,No,Others,3,Yes,Others,Yes,Yes,2-3 times,Neutral
Male,25-34,Employed,,,TikTok,Others,Evening 5 pm - 12 am),Smartphone,Others,Others,Yes,Once a day,Less than 15 minutes,No,Others,3,Yes,Once a month,No,No,,Neutral
Female,18-24,Student,No,Undergraduate,TikTok,Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Comment,"Food and Travel?Fashion and Beauty? Movies, TV Shows",Yes,Once a month,Less than 15 minutes,Yes,By exploring trending sections,4,Yes,2-3 times a week,Yes,Yes,2-3 times,Somewhat likely
Female,25-34,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Comedy and Entertainment?Fashion and Beauty? Movies, TV Shows? Educational Content",Yes,2-3 times a week,15 minutes to 30 minutes,No,Through platform recommendations?Via social shares by friends or family?,3,Yes,Once a month,Yes,No,,Neutral
Female,55-64,Retired,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,Food and Travel,Yes,4 or more times a day,30 minutes to 1 hour,Yes,Through platform recommendations?Via social shares by friends or family?,5,Yes,2-3 times a week,Yes,Yes,2-3 times,Very likely
Male,18-24,Student,Yes,Post-graduate,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,Sports and Fitness?Comedy and Entertainment,Yes,2-3 times a month,Less than 15 minutes,Yes,Through platform recommendations?Via social shares by friends or family??By exploring trending sections,3,No,,Yes,No,,Neutral
Male,45-54,Self-employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,Food and Travel?Sports and Fitness?Comedy and Entertainment? Educational Content?Others????,Yes,2-3 times a week,Less than 15 minutes,Yes,Through platform recommendations?Via social shares by friends or family??By searching for specific content?By exploring trending sections,3,Yes,Others,Yes,Yes,2-3 times,Neutral
Female,45-54,Employed,,,TikTok,Networking and Socializing,Evening 5 pm - 12 am),Smartphone,Like,Sports and Fitness?Daily Vlogs and Lifestyle?Fashion and Beauty,Yes,Once a day,30 minutes to 1 hour,Yes,By exploring trending sections,4,No,,Yes,No,,Neutral
Female,25-34,Employed,,,Others,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel?Comedy and Entertainment?Daily Vlogs and Lifestyle?Fashion and Beauty? Movies, TV Shows",No,,,Yes,Others,2,No,,No,No,,Somewhat unlikely
Male,18-24,Student,No,Undergraduate,Others,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,Food and Travel?Comedy and Entertainment?Technology and Gaming,Yes,Once a day,More than 1 hours,Yes,Through platform recommendations?Via social shares by friends or family?,4,No,,Yes,No,,Neutral
Male,18-24,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,Comedy and Entertainment,Yes,4 or more times a day,30 minutes to 1 hour,Yes,Through platform recommendations?Via social shares by friends or family?,5,Yes,2-3 times a week,Yes,Yes,More than 6 times,Very likely
Female,18-24,Student,No,Undergraduate,Little Red Book,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share," Movies, TV Shows?Technology and Gaming",No,,,Yes,Via social shares by friends or family?,4,No,,Yes,No,,Somewhat unlikely
Male,35-44,Self-employed,,,Wechat Video,Networking and Socializing,Evening 5 pm - 12 am),Smartphone,Like,Food and Travel,Yes,Once a day,15 minutes to 30 minutes,Yes,Via social shares by friends or family?,3,Yes,2-3 times a month,No,No,,Somewhat likely
Female,18-24,Student,Yes,Post-graduate,Little Red Book,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,Food and Travel,Yes,Once a month,Less than 15 minutes,Yes,By exploring trending sections,3,No,,Yes,No,,Very unlikely
Male,45-54,Self-employed,,,TikTok,Learning and Education,Evening 5 pm - 12 am),Smartphone,Comment, Educational Content,Yes,4 or more times a day,Less than 15 minutes,No,Via social shares by friends or family?,3,Yes,Others,No,Yes,Once,Somewhat likely
Male,18-24,Student,No,Undergraduate,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,Food and Travel?Comedy and Entertainment?Technology and Gaming,Yes,4-6 times a week,Less than 15 minutes,No,By searching for specific content?By exploring trending sections,4,No,,Yes,No,,Neutral
Male,18-24,Student,Yes,Undergraduate,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Food and Travel?Comedy and Entertainment?Daily Vlogs and Lifestyle? Movies, TV Shows",Yes,Once a week,Less than 15 minutes,No,Via social shares by friends or family?,2,No,,No,No,,Neutral
Female,18-24,Student,No,Undergraduate,Little Red Book,Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Share,"Food and Travel?Comedy and Entertainment?Daily Vlogs and Lifestyle?Fashion and Beauty? Movies, TV Shows? Educational Content",No,,,Yes,Through platform recommendations?Via social shares by friends or family??By searching for specific content?By exploring trending sections,3,Yes,Once a month,Yes,No,,Neutral
Male,18-24,Student,No,Undergraduate,TikTok,Entertainment and Leisure,Late Night (12 am - 5 am)),Smartphone,Like,Comedy and Entertainment?Technology and Gaming,Yes,2-3 times a week,Less than 15 minutes,No,Through platform recommendations?Via social shares by friends or family?,2,Yes,Once a month,Yes,No,,Somewhat unlikely
Male,18-24,Employed,,,Little Red Book,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel?Sports and Fitness?Comedy and Entertainment?Fashion and Beauty? Movies, TV Shows?Technology and Gaming?Others??Female?",Yes,2-3 times a week,Less than 15 minutes,No,Through platform recommendations?Via social shares by friends or family??By searching for specific content?By exploring trending sections,3,No,,Yes,Yes,2-3 times,Somewhat likely
Female,18-24,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,Comedy and Entertainment?Daily Vlogs and Lifestyle,Yes,Once a month,Less than 15 minutes,Yes,Through platform recommendations,5,No,,Yes,No,,Neutral
Female,18-24,Student,Yes,Post-graduate,TikTok,Entertainment and Leisure,Late Night (12 am - 5 am)),Smartphone,Share,Food and Travel?Comedy and Entertainment?Fashion and Beauty,Yes,2-3 times a month,Less than 15 minutes,No,Via social shares by friends or family?,4,Yes,Once a month,Yes,No,,Somewhat unlikely
Female,45-54,Others,,,Wechat Video,Networking and Socializing,Evening 5 pm - 12 am),Smartphone,Like,Food and Travel?Sports and Fitness?Comedy and Entertainment,No,,,Yes,Through platform recommendations,3,Yes,Others,Yes,No,,Neutral
Male,18-24,Student,Yes,Post-graduate,Instagram(Reels),Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,Comedy and Entertainment,Yes,Once a month,Less than 15 minutes,Yes,Through platform recommendations,4,Yes,Once a month,Yes,Yes,More than 6 times,Neutral
Male,18-24,Student,No,Undergraduate,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,Food and Travel?Sports and Fitness?Comedy and Entertainment?Daily Vlogs and Lifestyle,Yes,2-3 times a week,15 minutes to 30 minutes,Yes,Through platform recommendations?Via social shares by friends or family?,3,Yes,Once a month,Yes,Yes,2-3 times,Somewhat unlikely
Male,18-24,Employed,,,TikTok,Entertainment and Leisure,Late Night (12 am - 5 am)),Smartphone,Like,"Food and Travel?Sports and Fitness?Comedy and Entertainment?Daily Vlogs and Lifestyle?Fashion and Beauty? Movies, TV Shows? Educational Content?Technology and Gaming",Yes,Others,Less than 15 minutes,Yes,Through platform recommendations?Via social shares by friends or family??By searching for specific content?By exploring trending sections,4,Yes,Others,Yes,Yes,4-6 times,Neutral
Male,18-24,Student,Yes,Undergraduate,TikTok,Entertainment and Leisure,Late Night (12 am - 5 am)),Smartphone,Others,"Comedy and Entertainment?Daily Vlogs and Lifestyle? Movies, TV Shows?Technology and Gaming",Yes,Once a day,30 minutes to 1 hour,No,Through platform recommendations?Via social shares by friends or family?,2,No,,Yes,Yes,2-3 times,Somewhat unlikely
Female,18-24,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Comment,"Food and Travel?Comedy and Entertainment?Daily Vlogs and Lifestyle?Fashion and Beauty? Movies, TV Shows",Yes,2-3 times a month,Less than 15 minutes,Yes,Through platform recommendations,4,Yes,2-3 times a month,Yes,Yes,Once,Neutral
Male,18-24,Student,Yes,Undergraduate,TikTok,Entertainment and Leisure,Late Night (12 am - 5 am)),Smartphone,Share,"Comedy and Entertainment?Fashion and Beauty? Movies, TV Shows?Technology and Gaming",Yes,Once a day,Less than 15 minutes,Yes,Through platform recommendations,3,No,,Yes,Yes,More than 6 times,Somewhat likely
Male,18-24,Student,No,Undergraduate,Others,Entertainment and Leisure,Late Night (12 am - 5 am)),Smartphone,Like,Sports and Fitness?Comedy and Entertainment?Daily Vlogs and Lifestyle?Technology and Gaming,Yes,Once a day,15 minutes to 30 minutes,Yes,Through platform recommendations?By searching for specific content,4,No,,Yes,No,,Somewhat unlikely
Male,25-34,Employed,,,TikTok,Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Share,Food and Travel?Comedy and Entertainment?Daily Vlogs and Lifestyle,Yes,Once a week,Less than 15 minutes,Yes,Through platform recommendations,2,Yes,Others,Yes,Yes,2-3 times,Neutral
Female,18-24,Student,Yes,Post-graduate,TikTok,Networking and Socializing,Evening 5 pm - 12 am),Smartphone,Like,Comedy and Entertainment,No,,,No,Via social shares by friends or family??By exploring trending sections,3,No,,No,No,,Neutral
Male,25-34,Student,Yes,Post-graduate,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,Food and Travel?Comedy and Entertainment,Yes,2-3 times a week,30 minutes to 1 hour,No,Through platform recommendations,4,Yes,Once a month,Yes,Yes,4-6 times,Neutral
Male,25-34,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Food and Travel?Comedy and Entertainment? Movies, TV Shows? Educational Content?Technology and Gaming",Yes,Once a day,Less than 15 minutes,Yes,Through platform recommendations?Via social shares by friends or family??By exploring trending sections,5,Yes,2-3 times a month,Yes,Yes,2-3 times,Neutral
Female,18-24,Student,No,Undergraduate,Little Red Book,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,Food and Travel?Comedy and Entertainment?Daily Vlogs and Lifestyle,Yes,2-3 times a month,More than 1 hours,No,Via social shares by friends or family?,3,Yes,2-3 times a month,Yes,No,,Neutral
Male,18-24,Student,No,Undergraduate,TikTok,Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Like,Others??Female?,Yes,Once a day,Less than 15 minutes,No,Through platform recommendations,2,Yes,Once a month,Yes,Yes,Once,Very unlikely
Female,18-24,Student,No,Undergraduate,TikTok,Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Like,"Food and Travel?Comedy and Entertainment? Movies, TV Shows",No,,,No,Through platform recommendations?By exploring trending sections,3,No,,Yes,Yes,2-3 times,Somewhat unlikely
Female,35-44,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Others,Others,No,,,No,Through platform recommendations,4,Yes,2-3 times a month,No,No,,Neutral
Male,18-24,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Others,Food and Travel?Sports and Fitness,Yes,Once a day,More than 1 hours,Yes,Through platform recommendations,2,Yes,2-3 times a month,Yes,Yes,2-3 times,Somewhat unlikely
Female,18-24,Student,No,Undergraduate,Little Red Book,Entertainment and Leisure,Late Night (12 am - 5 am)),Smartphone,Share,"Food and Travel? Movies, TV Shows",Yes,Once a day,Less than 15 minutes,No,Through platform recommendations?Via social shares by friends or family??By searching for specific content,5,Yes,2-3 times a month,Yes,Yes,More than 6 times,Neutral
Female,18-24,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,Food and Travel?Comedy and Entertainment?Daily Vlogs and Lifestyle?Fashion and Beauty,Yes,4 or more times a day,More than 1 hours,Yes,Via social shares by friends or family?,5,Yes,2-3 times a week,Yes,Yes,2-3 times,Very likely
Male,18-24,Student,No,Undergraduate,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel?Comedy and Entertainment?Daily Vlogs and Lifestyle? Movies, TV Shows? Educational Content",Yes,Once a month,Less than 15 minutes,Yes,Through platform recommendations?Via social shares by friends or family??By exploring trending sections,4,No,,Yes,No,,Neutral
Female,25-34,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Food and Travel?Comedy and Entertainment? Movies, TV Shows? Educational Content",Yes,2-3 times a month,15 minutes to 30 minutes,Yes,Through platform recommendations,3,Yes,2-3 times a month,Yes,No,,Neutral
Male,18-24,Student,No,Undergraduate,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Food and Travel?Comedy and Entertainment? Movies, TV Shows?Technology and Gaming",Yes,2-3 times a day,15 minutes to 30 minutes,Yes,Through platform recommendations,3,Yes,Once a month,Yes,No,,Neutral
Female,18-24,Student,No,Post-graduate,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Comment,Comedy and Entertainment?Daily Vlogs and Lifestyle?Fashion and Beauty,Yes,Once a week,Less than 15 minutes,Yes,Via social shares by friends or family??By exploring trending sections,4,No,,Yes,No,,Somewhat unlikely
Female,25-34,Student,Yes,Post-graduate,Little Red Book,Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Like,Food and Travel?Fashion and Beauty,Yes,Once a day,Less than 15 minutes,Yes,Through platform recommendations,4,Yes,Once a week,Yes,Yes,2-3 times,Somewhat unlikely
Female,25-34,Employed,,,Little Red Book,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,Food and Travel?Comedy and Entertainment?Daily Vlogs and Lifestyle,Yes,Once a week,30 minutes to 1 hour,Yes,Through platform recommendations?Via social shares by friends or family??By exploring trending sections,3,Yes,Once a month,Yes,Yes,2-3 times,Somewhat likely
Female,25-34,Employed,,,Others,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,Comedy and Entertainment?Fashion and Beauty,Yes,Once a month,Less than 15 minutes,Yes,By exploring trending sections,3,No,,Yes,No,,Neutral
Female,18-24,Student,Yes,Post-graduate,Instagram(Reels),Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,Food and Travel?Comedy and Entertainment,No,,,No,Via social shares by friends or family?,4,No,,Yes,Yes,2-3 times,Somewhat likely
Female,18-24,Student,Yes,Post-graduate,Little Red Book,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,Food and Travel?Daily Vlogs and Lifestyle?Fashion and Beauty? Educational Content,No,,,Yes,Through platform recommendations?Via social shares by friends or family?,4,No,,Yes,Yes,4-6 times,Neutral
Male,25-34,Student,Yes,Post-graduate,Little Red Book,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel?Sports and Fitness?Comedy and Entertainment? Movies, TV Shows? Educational Content",No,,,Yes,Through platform recommendations?Via social shares by friends or family?,4,No,,Yes,No,,Somewhat likely
Female,18-24,Student,Yes,Post-graduate,Little Red Book,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,Daily Vlogs and Lifestyle?Fashion and Beauty? Educational Content,Yes,Once a month,Less than 15 minutes,Yes,Through platform recommendations,5,Yes,Once a month,Yes,Yes,More than 6 times,Somewhat likely
