gender,age_group,occupation,Intl_students,degree,fvt_social_media_platform,usage_reason,usage_time,device,interaction,preferred_content,watched_livestream,watched_livestream_frequency,avg_watch_time_livestream,emotional_fullfillment,svp_discovery_method,content_personalization,purchased_product,purchase_frequency,follow_influencers,influencer_inspired_travel ,influencer_inspired_travel _frequency,influencer_travel_trust_score
Male,55-64,Employed,No,,Facebook,Learning and Education,Evening 5 pm - 12 am),Laptop/Desktop,Like,"Sports and Fitness, Educational Content, Technology and Gaming",No,2-3 times a day,15 minutes to 30 minutes,Sometimes,Via social shares by friends or family,4,No,,No,Yes,Once,Neutral
Male,25-34,Employed,,,YouTube (shorts),Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Flick through and watch,"Food and Travel, Daily Vlogs and Lifestyle, Technology and Gaming",No,,,No,Through platform recommendations,3,No,,No,No,,Neutral
Female,35-44,Employed,No,Undergraduate,Facebook,Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Like,"Food and Travel, Comedy and Entertainment, Movies, TV Shows, and Animation",Yes,2-3 times a day,Less than 15 minutes,Sometimes,Via social shares by friends or family,3,No,,Yes,No,,Somewhat likely
Male,35-44,Employed,,Undergraduate,YouTube (shorts),Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Daily Vlogs and Lifestyle, Fashion and Beauty, Movies, TV Shows, and Animation, Educational Content, Technology and Gaming",No,Once a day,15 minutes to 30 minutes,Sometimes,Through platform recommendations,4,No,,No,No,,Somewhat likely
Male,45-54,Employed,No,,YouTube (shorts),Learning and Education,Morning (5 am - 12 pm),Laptop/Desktop,Like,Daily Vlogs and Lifestyle,Yes,Once a week,15 minutes to 30 minutes,Sometimes,Via social shares by friends or family,3,Yes,Once a month,No,Yes,Once,Somewhat likely
Male,25-34,Employed,No,Undergraduate,Other,Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Like,"Food and Travel, Movies, TV Shows, and Animation, Technology and Gaming","Yes, No",Once a month,30 minutes to 1 hour,Sometimes,By searching for specific content,3,No,Once a month,Yes,No,,Neutral
Male,35-44,Employed,,,Other,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,just read,"Food and Travel, Comedy and Entertainment, Movies, TV Shows, and Animation, Technology and Gaming","Yes, No",,,Sometimes,"Through platform recommendations, Via social shares by friends or family",2,No,,No,No,,Somewhat unlikely
Female,25-34,Employed,No,Undergraduate,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Sports and Fitness, Comedy and Entertainment, Movies, TV Shows, and Animation",No,N/A,,No,"Through platform recommendations, By exploring trending sections",4,No,,No,No,,
Female,45-54,Employed,,Post-graduate,Facebook,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Food and Travel, Comedy and Entertainment, Fashion and Beauty, Movies, TV Shows, and Animation, Educational Content",Yes,Once a week,30 minutes to 1 hour,Sometimes,"Via social shares by friends or family, By searching for specific content, By exploring trending sections",4,No,,No,No,,
Female,35-44,Self-employed,,,Instagram,Entertainment and Leisure,Morning (5 am - 12 pm),Smartphone,Like,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Daily Vlogs and Lifestyle, Fashion and Beauty, Educational Content",No,,,Yes,Through platform recommendations,5,No,,Yes,,,
Male,55-64,Employed,,,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,Comedy and Entertainment,No,,,Sometimes,Through platform recommendations,1,No,,Yes,No,,Neutral
Female,35-44,Employed,No,Undergraduate,Facebook,Networking and Socializing,Morning (5 am - 12 pm),Smartphone,Like,"Food and Travel, Comedy and Entertainment",Yes,2-3 times a day,15 minutes to 30 minutes,Yes,Through platform recommendations,5,Yes,Once a month,No,No,,Somewhat likely
Prefer not to say,25-34,Employed,,,Facebook,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Sports and Fitness, Comedy and Entertainment, Movies, TV Shows, and Animation, Educational Content, Technology and Gaming",Yes,Once a week,15 minutes to 30 minutes,Yes,Via social shares by friends or family,4,Yes,Once a month,Yes,Yes,2-3 times,Neutral
Male,35-44,Employed,,,Facebook,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Comedy and Entertainment, Educational Content",No,,,Sometimes,Via social shares by friends or family,3,No,,No,No,,Somewhat unlikely
Male,45-54,Employed,No,Post-graduate,YouTube (shorts),Learning and Education,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Educational Content, Technology and Gaming, DIY",No,Once a week,Less than 15 minutes,Sometimes,"Through platform recommendations, By searching for specific content",4,No,,No,No,,Neutral
Female,25-34,Employed,No,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Comedy and Entertainment, Fashion and Beauty, Movies, TV Shows, and Animation, Educational Content",Yes,Once a week,15 minutes to 30 minutes,Sometimes,Through platform recommendations,4,Yes,Once a month,Yes,Yes,Once,Somewhat likely
Female,18-24,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Comedy and Entertainment, Educational Content",No,,,Yes,"Through platform recommendations, Via social shares by friends or family",4,Yes,Once a month,Yes,No,,Somewhat unlikely
Female,25-34,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Sports and Fitness, Fashion and Beauty",Yes,Once a month,Less than 15 minutes,Yes,Through platform recommendations,3,Yes,Once a month,Yes,No,,Neutral
Female,35-44,Employed,No,,Other,Learning and Education,Afternoon (12 pm - 5 pm),Smartphone,Like,Educational Content,No,Once a day,Less than 15 minutes,No,By searching for specific content,3,No,Once a month,No,No,Once,Very unlikely
Male,25-34,Employed,,,Instagram,Entertainment and Leisure,Late Night (12 am - 5 am),Smartphone,Share,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Movies, TV Shows, and Animation",Yes,Once a week,Less than 15 minutes,Sometimes,"Through platform recommendations, Via social shares by friends or family",3,No,,Yes,No,,Somewhat unlikely
Male,25-34,Employed,No,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Sports and Fitness, Fashion and Beauty",No,4 or more times a day,Less than 15 minutes,Yes,By exploring trending sections,4,Yes,2-3 times a month,Yes,No,,Somewhat likely
Male,35-44,Employed,No,,Instagram,Networking and Socializing,Evening 5 pm - 12 am),Smartphone,Share,Comedy and Entertainment,Yes,Once a day,Less than 15 minutes,No,Via social shares by friends or family,2,No,Once a month,No,No,,Very unlikely
Male,25-34,Employed,,,Instagram,Learning and Education,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Sports and Fitness, Fashion and Beauty, Educational Content",No,,,No,Through platform recommendations,4,Yes,Once a month,Yes,No,,Somewhat likely
Female,45-54,Employed,No,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Comedy and Entertainment, Daily Vlogs and Lifestyle, Fashion and Beauty, Educational Content",Yes,2-3 times a day,15 minutes to 30 minutes,Yes,"Through platform recommendations, Via social shares by friends or family, By searching for specific content",4,Yes,Once a month,Yes,No,,Neutral
Female,55-64,Employed,,,YouTube (shorts),Entertainment and Leisure,Evening 5 pm - 12 am),Tablet,Like,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Movies, TV Shows, and Animation",Yes,Once a month,Less than 15 minutes,No,"Through platform recommendations, Via social shares by friends or family",3,No,,No,No,,Very unlikely
Male,18-24,Employed,No,Post-graduate,Instagram,Learning and Education,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Sports and Fitness","Yes, No",Once a month,Less than 15 minutes,No,"Through platform recommendations, Via social shares by friends or family, By searching for specific content, By exploring trending sections",4,No,,Yes,Yes,Once,Very likely
Female,25-34,Employed,No,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Comedy and Entertainment, Daily Vlogs and Lifestyle, Fashion and Beauty",Yes,Once a month,Less than 15 minutes,Sometimes,Via social shares by friends or family,4,Yes,Once a month,Yes,Yes,More than 6 times,Somewhat likely
Female,25-34,Employed,No,,Instagram,Entertainment and Leisure,Afternoon (12 pm - 5 pm),Laptop/Desktop,Like,"Food and Travel, Comedy and Entertainment, Fashion and Beauty, Movies, TV Shows, and Animation, Educational Content",Yes,2-3 times a day,30 minutes to 1 hour,Yes,Via social shares by friends or family,4,Yes,Once a month,Yes,Yes,Once,Somewhat likely
Female,25-34,Employed,No,Undergraduate,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,none just scroll ,"Daily Vlogs and Lifestyle, Fashion and Beauty",No,4 or more times a day,,No,"Via social shares by friends or family, By exploring trending sections",4,No,,Yes,No,,Neutral
